Attacker_Name,sessions,activity_recorded,activity_per_session
Aja,8,68,8.5
Aku'Qa,8,178,22.25
Alaris,5,74,14.8
Albbas,1,1,1.0
Albert Hofmann,24,96,4.0
Alienation,3,9,3.0
All_My_Swagga,8,543,67.875
Alphist,18,20,1.1111111111111112
AnarchyX,3,46,15.333333333333334
AndBiT,1,22,22.0
Andromeda,1,2,2.0
Anesi,4,14,3.5
Angel of Death,1,4,4.0
Animalis,1,7,7.0
Anteros,7,34,4.857142857142857
Anti Matter,56,268,4.785714285714286
Anticlea,41,426,10.390243902439025
Anzu,9,253,28.11111111111111
Aplha,6,91,15.166666666666666
Apocalypse Pill,1,1,1.0
Apple Pie,8,51,6.375
Aquistitor,5,15,3.0
Archangel of Heaven,1,5,5.0
Archipelago,83,2924,35.2289156626506
ArcticHawk,1,1,1.0
Ares - God Of War,10,109,10.9
Arkurias,1,2,2.0
Arm,52,123,2.3653846153846154
Armoured,3,5,1.6666666666666667
Arthur Dent,5,224,44.8
Asakku,1,2,2.0
Asta,4,30,7.5
Astatine,6,41,6.833333333333333
Astra,1,4,4.0
Atomic,1,1,1.0
Attis,1,2,2.0
Atuxiu,1,1,1.0
Aurora Tenebris,15,400,26.666666666666668
Aussie,1,2,2.0
Auty,33,109,3.303030303030303
Avaya,10,11,1.1
Awiiz,2,2,1.0
Azak,5,19,3.8
Azula,65,1366,21.015384615384615
B Fife,7,49,7.0
B45 Tornado,8,8,1.0
BC Hunter 1,2,17,8.5
BC Hunter 2,6,46,7.666666666666667
BC Hunter 4,7,56,8.0
BDW,1,1,1.0
BF 1943,5,6,1.2
BV,15,83,5.533333333333333
BWO Com.,15,327,21.8
Bad Bird,1,1,1.0
Badunka,57,500,8.771929824561404
Banana,1,1,1.0
Bananna Man,1,2,2.0
Banshee,26,225,8.653846153846153
Bantz2K14,1,1,1.0
Barfbag,6,35,5.833333333333333
Barony of Letnev,13,65,5.0
Barrett50,11,14,1.2727272727272727
Barth,1,6,6.0
Bartolomeu Dias,40,1196,29.9
BaseGannon,21,261,12.428571428571429
Battlecruiser Hero,3,19,6.333333333333333
Battlecruiser Hero l,1,5,5.0
Battlecruiser Hero ll,14,131,9.357142857142858
Battlecruiser Hero lll,16,384,24.0
BeastMode,2,2,1.0
Beautiful,1,8,8.0
Bedevere,1,4,4.0
Beetle,16,31,1.9375
Bendis,141,1030,7.304964539007092
Benjamin Koss,1,3,3.0
Bergiton,44,1885,42.84090909090909
Berrith,25,38,1.52
BetaBoi,7,42,6.0
Beurer,3,79,26.333333333333332
Big E,3,45,15.0
Big Momma,9,356,39.55555555555556
Bizman,59,1007,17.06779661016949
Black Mage,1,22,22.0
BlackZ,15,95,6.333333333333333
BlackZZ,94,223,2.372340425531915
Blauer Mond,8,22,2.75
Blauer Mond 2,9,22,2.4444444444444446
Blauer Mond 3,9,15,1.6666666666666667
Blauer Mond 4,5,8,1.6
Blauer Mond 5,8,32,4.0
Blob the Builder,54,3123,57.833333333333336
Blohm-Voss,41,1080,26.341463414634145
BloodPony,6,13,2.1666666666666665
Bludz,14,132,9.428571428571429
Blue Energy,22,25,1.1363636363636365
Blue Moon,11,39,3.5454545454545454
BlueAjah,1,9,9.0
Blue_Chaos_Flame,2,20,10.0
Blueberry Pie,7,54,7.714285714285714
Bob the OMNIPOTENT,59,106,1.7966101694915255
BombaWallie,6,105,17.5
Bombers Moon,7,27,3.857142857142857
Bond 007,3,9,3.0
Bondsmith,9,12,1.3333333333333333
Bracara Augusta,20,306,15.3
Bractish,9,60,6.666666666666667
Bready,68,848,12.470588235294118
Brevity,36,131,3.638888888888889
Brontos,1,5,5.0
Brool,1,1,1.0
Brute,2,10,5.0
Bucaneer,27,88,3.259259259259259
Buck Rogers,1,4,4.0
Budis,40,1679,41.975
BullAnt,1,1,1.0
Bush,1,1,1.0
CB0 (Activate Menhir),1,3,3.0
CB0 (Captain Sky),2,3,1.5
CB0 (Darkhaven),3,5,1.6666666666666667
CB0 (Ethereal Theta),1,2,2.0
CB0 (FeiFei),6,140,23.333333333333332
CB0 (Ghost of Creus),1,4,4.0
CB0 (Jimo),1,1,1.0
CB0 (Muffasa),3,4,1.3333333333333333
CB0 (Qu4NtuM),1,6,6.0
CB0 (Slizer88),1,4,4.0
CB0 (TheRealTate97),4,15,3.75
CB0 (Trevor),1,1,1.0
CB1 (Banshee),7,46,6.571428571428571
CB1 (Darkhaven),4,9,2.25
CB1 (Fire),3,19,6.333333333333333
CB1 (Imperator Princeps),1,1,1.0
CB1 (Jace-Gannon),5,23,4.6
CB1 (Jit),1,7,7.0
CB1 (PandemicRoyale),1,6,6.0
CB1 (PinkAddiction),1,4,4.0
CB1 (Qu4NtuM),4,8,2.0
CB1 (ReVityyfc),2,3,1.5
CB1 (Sardakk Norr),2,3,1.5
CB1 (Trapping),1,1,1.0
CB1 (chaser12),1,1,1.0
CB10 (Archipelago),1,9,9.0
CB10 (Arthur Dent),1,5,5.0
CB10 (DefinitelynotDingus),8,30,3.75
CB10 (Flattire),2,2,1.0
CB10 (Habanero),1,1,1.0
CB10 (Heubert),1,1,1.0
CB10 (Jace-Gannon),1,2,2.0
CB10 (Lazerus),1,1,1.0
CB10 (Paradise Lost),1,2,2.0
CB10 (Qu4NtuM),6,38,6.333333333333333
CB10 (ShadowNZ),1,1,1.0
CB10 (Sococry),3,5,1.6666666666666667
CB10 (The Survivor),2,3,1.5
CB10 (Undead kightkiller),1,9,9.0
CB10 (Ungodly Planet),2,8,4.0
CB10 (goldstar-stations),1,1,1.0
CB10 (xeb0la),2,6,3.0
CB100 (Ares - God Of War),2,20,10.0
CB100 (Comandor_J),1,1,1.0
CB100 (Dioikitis),4,7,1.75
CB100 (Grimrix),9,45,5.0
CB100 (Libra-L7),1,15,15.0
CB100 (Nostromontous),1,4,4.0
CB100 (TORMENTER),2,21,10.5
CB100 (Undead kightkiller),1,1,1.0
CB100 (WhyTry),1,1,1.0
CB100 (ada153),2,3,1.5
CB100 (gorkg),1,1,1.0
CB100 (nickel),2,8,4.0
CB101 (Bond 007),1,1,1.0
CB101 (Bready),2,10,5.0
CB101 (Brevity),105,361,3.4380952380952383
CB101 (Citala),3,7,2.3333333333333335
CB101 (Crade),15,163,10.866666666666667
CB101 (ExtraMonty),1,1,1.0
CB101 (FOXJOKE),1,1,1.0
CB101 (Government Hoover),6,28,4.666666666666667
CB101 (HusTomten),1,1,1.0
CB101 (KingOfTheEast),2,3,1.5
CB101 (Marmaduke),1,5,5.0
CB101 (OG Snooks),5,21,4.2
CB101 (ReVityyfc),1,1,1.0
CB101 (Starbuss),5,37,7.4
CB101 (Venutian-Chaos),1,2,2.0
CB101 (WhyTry),1,2,2.0
CB101 (ZGMF),2,6,3.0
CB101 (bloodybirne),1,2,2.0
CB101 (xeb0la),1,1,1.0
CB101 (zim),5,13,2.6
CB102 (8Ball),2,27,13.5
CB102 (ACE),4,22,5.5
CB102 (Counterspell),1,6,6.0
CB102 (Deslock35),1,4,4.0
CB102 (Droid3t),2,12,6.0
CB102 (Epimetheus),1,7,7.0
CB102 (FOXJOKE),1,1,1.0
CB102 (Ghost of Creus),9,12,1.3333333333333333
CB102 (MasterBate),3,4,1.3333333333333333
CB102 (Myght Guy),2,2,1.0
CB102 (Noint),1,1,1.0
CB102 (Peter Quill),4,22,5.5
CB102 (Scotch Bingington),2,2,1.0
CB102 (ShivasJoy),1,3,3.0
CB102 (Skynet-Slaver),2,2,1.0
CB102 (Slizer88),3,27,9.0
CB102 (SouthStarO5),2,18,9.0
CB102 (Undead kightkiller),1,2,2.0
CB102 (chaser11),1,2,2.0
CB102 (dollar),3,6,2.0
CB103 (Abomni3),6,8,1.3333333333333333
CB103 (CSE),2,5,2.5
CB103 (Captain Sky),2,4,2.0
CB103 (Crade),1,11,11.0
CB103 (Deslock35),2,6,3.0
CB103 (Ghost of Creus),2,3,1.5
CB103 (Glen),1,2,2.0
CB103 (Laertes),1,3,3.0
CB103 (Legendary Meat Scepter),1,7,7.0
CB103 (Marmaduke),1,3,3.0
CB103 (MasterBate),1,2,2.0
CB103 (Peter Quill),1,4,4.0
CB103 (Silent Assassin 2),1,2,2.0
CB103 (Swog1),2,3,1.5
CB103 (The Revenge of bobel),1,12,12.0
CB103 (Venutian-Chaos),7,31,4.428571428571429
CB103 (YoFurry),1,11,11.0
CB103 (hellguard3),1,3,3.0
CB103 (larjulan),3,13,4.333333333333333
CB103 (njalla),1,1,1.0
CB104 (Admiral Nymyr),1,2,2.0
CB104 (Anzu),1,1,1.0
CB104 (Bready),1,16,16.0
CB104 (Darkhaven),5,10,2.0
CB104 (Enduros),1,5,5.0
CB104 (FOXJOKE),1,1,1.0
CB104 (Fly Molo),2,3,1.5
CB104 (KingOfTheEast),3,8,2.6666666666666665
CB104 (Lazerus),1,2,2.0
CB104 (Meat Hammer),6,47,7.833333333333333
CB104 (NukeACow),8,34,4.25
CB104 (OG Snooks),2,23,11.5
CB104 (Orphan Sonatian),2,31,15.5
CB104 (Paranid),2,8,4.0
CB104 (ShivasJoy),1,6,6.0
CB104 (Swog11),1,4,4.0
CB104 (cartoonicus),1,1,1.0
CB104 (ummmmmmmmm),4,60,15.0
CB105 (Darkhaven),1,2,2.0
CB105 (DownAndBelow),3,9,3.0
CB105 (Draal),2,111,55.5
CB105 (DreadLordNaf),3,54,18.0
CB105 (Ghost of Creus),23,82,3.5652173913043477
CB105 (Government Hoover),1,1,1.0
CB105 (Iron),17,41,2.411764705882353
CB105 (Lilin),1,4,4.0
CB105 (Magnetic North),1,1,1.0
CB105 (Nodule),101,403,3.99009900990099
CB105 (Oddity),2,15,7.5
CB105 (Peter Quill),1,1,1.0
CB105 (RalStar52ShM),1,5,5.0
CB105 (SaintOfKillers),16,23,1.4375
CB105 (Swog15),1,1,1.0
CB105 (The Crazy Game Master),1,3,3.0
CB105 (Trouble),1,3,3.0
CB105 (Zooz),5,22,4.4
CB105 (nymphomaniac),1,4,4.0
CB106 (Albert Hofmann),1,10,10.0
CB106 (Bucaneer),1,1,1.0
CB106 (Counterspell),1,1,1.0
CB106 (Darkhaven),1,2,2.0
CB106 (DefinitelynotDingus),17,135,7.9411764705882355
CB106 (Life),2,12,6.0
CB106 (Myght Guy),1,1,1.0
CB106 (Rize),1,9,9.0
CB106 (Snimals),2,2,1.0
CB106 (SouthStarO5),1,5,5.0
CB106 (SpaceTrader),4,8,2.0
CB106 (Undead kightkiller),1,1,1.0
CB106 (W4R),3,4,1.3333333333333333
CB106 (YoFurry),3,9,3.0
CB106 (ZoltanXPS),3,4,1.3333333333333333
CB106 (ada153),1,1,1.0
CB107 (HEALZ),6,9,1.5
CB107 (Khaak),8,29,3.625
CB107 (Slizer88),1,1,1.0
CB107 (Stents),1,3,3.0
CB107 (Still Free27),1,2,2.0
CB107 (The Fleety Boy),1,4,4.0
CB107 (Ttodd),1,2,2.0
CB107 (Vorporal),1,1,1.0
CB108 (Cold Spartan),1,1,1.0
CB108 (CoronaVirus),1,9,9.0
CB108 (Darkhaven),2,4,2.0
CB108 (Death Warrant),2,3,1.5
CB108 (Ethereal gamma),3,5,1.6666666666666667
CB108 (Frailty),1,4,4.0
CB108 (Imperallum),12,154,12.833333333333334
CB108 (Mauty),1,3,3.0
CB108 (Poe Ta Toe),7,23,3.2857142857142856
CB108 (Qokuji Banu),1,1,1.0
CB108 (SouthStarO5 Sd),5,93,18.6
CB108 (Undead kightkiller),3,5,1.6666666666666667
CB109 (Budis),2,2,1.0
CB109 (CSE),1,1,1.0
CB109 (Citala),1,4,4.0
CB109 (Deslock35),1,1,1.0
CB109 (Drushem),1,2,2.0
CB109 (Enyo),2,17,8.5
CB109 (F4MINE),1,5,5.0
CB109 (FriendlyUndertaker),1,5,5.0
CB109 (Harvest Moon),7,21,3.0
CB109 (Laertes),2,2,1.0
CB109 (MasterBate),1,4,4.0
CB109 (Myght Guy),1,9,9.0
CB109 (NukeACow),7,14,2.0
CB109 (PeanutAllergy),3,26,8.666666666666666
CB109 (Peter Quill),1,1,1.0
CB109 (Shadowmaster),1,3,3.0
CB109 (The E11),1,4,4.0
CB109 (ZGMF),1,1,1.0
CB109 (bloodybirne),1,1,1.0
CB109 (ummmmmmmmm),11,143,13.0
CB109 (xeb0la),1,2,2.0
CB11 (Battlecruiser Hero lll),4,6,1.5
CB11 (Bucaneer),1,1,1.0
CB11 (Crade),1,1,1.0
CB11 (Darkhaven),1,1,1.0
CB11 (Darth Magas),7,26,3.7142857142857144
CB11 (Eia),2,3,1.5
CB11 (Ethereal gamma),1,1,1.0
CB11 (FOXJOKE),1,1,1.0
CB11 (Kosh),3,36,12.0
CB11 (Pervert),8,203,25.375
CB11 (Rocket Raccoon),1,2,2.0
CB11 (SouthStarO5),1,12,12.0
CB11 (Spiritbox),17,176,10.352941176470589
CB11 (Still Free27),2,3,1.5
CB11 (Trouble),2,3,1.5
CB11 (Witch King of Angmar),1,37,37.0
CB11 (kez),1,2,2.0
CB110 (Banshee),4,7,1.75
CB110 (Darkhaven),5,15,3.0
CB110 (Frog Detective),4,26,6.5
CB110 (Imperator Princeps),2,7,3.5
CB110 (MontyCrabapple),2,25,12.5
CB110 (Mujika),1,1,1.0
CB110 (Still Free27),1,1,1.0
CB110 (Undead kightkiller),1,2,2.0
CB110 (UrQa Vazuk),6,13,2.1666666666666665
CB110 (ZGMF),1,1,1.0
CB110 (ZoltanXPS),1,3,3.0
CB110 (black out),2,9,4.5
CB110 (bloodybirne),1,6,6.0
CB110 (shmJmeel),2,7,3.5
CB111 (Ethereal gamma),10,14,1.4
CB111 (Hecktor),2,3,1.5
CB111 (HighVelocityHarry),2,3,1.5
CB111 (Jon Roy),2,25,12.5
CB111 (Libra-L7),1,2,2.0
CB111 (Noint),2,2,1.0
CB111 (PureDark),2,2,1.0
CB111 (ReVityyfc),1,1,1.0
CB111 (Skynet-Slaver),1,4,4.0
CB111 (Turnbull),6,17,2.8333333333333335
CB111 (Yeochee),5,14,2.8
CB111 (ada153),1,3,3.0
CB111 (goldstar719),1,2,2.0
CB112 (Bendis),2,5,2.5
CB112 (Davik),23,55,2.391304347826087
CB112 (FOXJOKE),1,1,1.0
CB112 (Government Hoover),1,3,3.0
CB112 (Hellfrost),1,1,1.0
CB112 (HitmanCaius),2,7,3.5
CB112 (Khaak),1,5,5.0
CB112 (Mauty),4,17,4.25
CB112 (Meat Hammer),2,23,11.5
CB112 (Mobile Muff Management),3,3,1.0
CB112 (Pilgrim),2,11,5.5
CB112 (Point Disarray),5,147,29.4
CB112 (Rad),1,6,6.0
CB112 (Sledge Hammer),4,8,2.0
CB112 (Squid DM),2,5,2.5
CB112 (Swog7),1,1,1.0
CB112 (Terrance),4,10,2.5
CB112 (Undead Bready),1,1,1.0
CB112 (Undead kightkiller),1,2,2.0
CB112 (Zheng),1,3,3.0
CB113 (BC Hunter 2),4,38,9.5
CB113 (BlackZZ),1,1,1.0
CB113 (Blauer Mond 4),1,1,1.0
CB113 (Brevity),91,237,2.6043956043956045
CB113 (Darkhaven),1,2,2.0
CB113 (Defcon22),2,5,2.5
CB113 (Distinguish),89,189,2.1235955056179776
CB113 (Eia),1,1,1.0
CB113 (Ethereal gamma),4,10,2.5
CB113 (FOXJOKE),1,1,1.0
CB113 (Federation of Sol),3,11,3.6666666666666665
CB113 (I never said that to her),1,1,1.0
CB113 (Mapex VI),1,1,1.0
CB113 (Nekro Virus),1,1,1.0
CB113 (Nymyr),1,4,4.0
CB113 (Peter Quill),3,24,8.0
CB113 (Schwarm),1,8,8.0
CB113 (Scotch Bingington),1,14,14.0
CB113 (ShivasJoy),1,1,1.0
CB113 (Spawn),2,5,2.5
CB113 (Squid R),5,5,1.0
CB113 (Talib),1,1,1.0
CB113 (Willy Lowman),1,43,43.0
CB113 (YoFurry),1,4,4.0
CB113 (ZeviorZoom),15,69,4.6
CB113 (tribohr),2,5,2.5
CB114 (8Ball),1,2,2.0
CB114 (Brevity),6,15,2.5
CB114 (CSE),1,2,2.0
CB114 (Crade),1,4,4.0
CB114 (Death Warrant),1,1,1.0
CB114 (ExtraMonty),1,4,4.0
CB114 (Hellfrost),1,3,3.0
CB114 (Libra-L7),1,13,13.0
CB114 (Life),1,14,14.0
CB114 (Lightning Bolt),2,11,5.5
CB114 (Nga),2,23,11.5
CB114 (Nodule),3,13,4.333333333333333
CB114 (Police Officer),2,4,2.0
CB114 (SouthStarO5),2,2,1.0
CB114 (Syrrex),1,1,1.0
CB114 (dotLuna),1,4,4.0
CB114 (shmJmeel),3,6,2.0
CB115 (Banshee),1,2,2.0
CB115 (Counterspell),2,4,2.0
CB115 (Darkhaven),1,1,1.0
CB115 (Gradius),3,8,2.6666666666666665
CB115 (Hephapotamus),1,4,4.0
CB115 (Iron),12,17,1.4166666666666667
CB115 (Shadow Trader),5,112,22.4
CB115 (Speed Train),1,1,1.0
CB115 (Still Free27),1,4,4.0
CB115 (Undead kightkiller),5,12,2.4
CB115 (shmJmeel),1,3,3.0
CB115 (ummmmmmmmm),1,12,12.0
CB116 (Abomni),5,33,6.6
CB116 (Blue Moon),5,13,2.6
CB116 (Crade),2,17,8.5
CB116 (Darth Revan),5,32,6.4
CB116 (Defcon22),2,8,4.0
CB116 (Hegesias of Cyrene),10,36,3.6
CB116 (Jace-Gannon),3,17,5.666666666666667
CB116 (Libra-L7),1,10,10.0
CB116 (NukeACow),3,17,5.666666666666667
CB116 (Russian MF),1,1,1.0
CB116 (Snimals),2,4,2.0
CB116 (TheMerno),1,5,5.0
CB116 (bloodybirne),1,1,1.0
CB116 (ummmmmmmmm),10,113,11.3
CB116 (zuma),8,87,10.875
CB117 (Bendis),3,11,3.6666666666666665
CB117 (Bready),1,12,12.0
CB117 (Darkhaven),1,1,1.0
CB117 (Eiox),10,19,1.9
CB117 (Iron),5,19,3.8
CB117 (Marmaduke 5),4,9,2.25
CB117 (Nekro Virus),1,2,2.0
CB117 (Noodle420),1,1,1.0
CB117 (OG Snooks),2,17,8.5
CB117 (Paranid),1,14,14.0
CB117 (Peter Quill),2,2,1.0
CB117 (ShivasJoy),1,4,4.0
CB117 (Trenton),1,1,1.0
CB117 (Undead kightkiller),3,13,4.333333333333333
CB117 (xeb0la),1,1,1.0
CB118 (BC Hunter 4),2,2,1.0
CB118 (Bombers Moon),2,6,3.0
CB118 (DefinitelynotDingus),1,9,9.0
CB118 (Elly),6,54,9.0
CB118 (Extreme Killing Machine),1,4,4.0
CB118 (FOXJOKE),1,1,1.0
CB118 (Gradient),4,53,13.25
CB118 (Ixius),1,1,1.0
CB118 (Monty_Crabapple),1,15,15.0
CB118 (Ophiuchus),1,2,2.0
CB118 (Prom Star),3,19,6.333333333333333
CB118 (black out),4,15,3.75
CB119 (Belliaum),4,21,5.25
CB119 (Bready),1,2,2.0
CB119 (Bucaneer),1,2,2.0
CB119 (Comander Caius),2,6,3.0
CB119 (Kudos),6,44,7.333333333333333
CB119 (Marsian Mahem),1,4,4.0
CB119 (MistOfSteel),2,3,1.5
CB119 (Peach Cobler),8,40,5.0
CB119 (Peter Quill),2,5,2.5
CB119 (Purple Ork),1,2,2.0
CB119 (SouthStarO5 Sd),1,1,1.0
CB119 (gorkg),1,1,1.0
CB119 (nolife10),1,2,2.0
CB12 (Archipelago),1,2,2.0
CB12 (CSE),1,2,2.0
CB12 (DefinitelynotDingus),2,2,1.0
CB12 (Federation of Sol),5,18,3.6
CB12 (General),3,10,3.3333333333333335
CB12 (Laertes),3,14,4.666666666666667
CB12 (Sandor),1,26,26.0
CB12 (Shadow Trader),1,21,21.0
CB12 (SouthStarO5 Sd),4,32,8.0
CB12 (Trenton II),1,1,1.0
CB12 (Woozy),6,18,3.0
CB12 (ZoltanXPS),1,3,3.0
CB12 (bloodybirne),1,5,5.0
CB12 (hellguard3),2,5,2.5
CB12 (iPod),1,48,48.0
CB12 (iwantmymtv),1,1,1.0
CB12 (ummmmmmmmm),2,10,5.0
CB120 (Aquistitor),1,1,1.0
CB120 (Badunka),12,35,2.9166666666666665
CB120 (Bready),2,4,2.0
CB120 (Darkhaven),2,14,7.0
CB120 (FOXJOKE),1,4,4.0
CB120 (Ghost of Creus),4,9,2.25
CB120 (Hellfrost),2,9,4.5
CB120 (Lazerus),1,4,4.0
CB120 (Myght Guy),1,1,1.0
CB120 (Nefertiri),2,5,2.5
CB120 (Street Fighter II),9,24,2.6666666666666665
CB120 (Titaniumizer),2,4,2.0
CB120 (firestarspelt),1,7,7.0
CB121 (Anteros),3,21,7.0
CB121 (Bendis),5,19,3.8
CB121 (Darkhaven),1,2,2.0
CB121 (Ethereal Pi),4,6,1.5
CB121 (ExtraMonty),3,26,8.666666666666666
CB121 (Harvest Moon),8,24,3.0
CB121 (Kosh),1,17,17.0
CB121 (Paradise Lost),1,2,2.0
CB121 (Ranger Danger),1,1,1.0
CB121 (Spawn),1,4,4.0
CB121 (The Big Bang Theory),1,4,4.0
CB121 (ZoltanXPS),2,4,2.0
CB121 (ada153),2,2,1.0
CB121 (dam it),2,2,1.0
CB121 (hellguard3),1,2,2.0
CB121 (zazzre),1,1,1.0
CB122 (Ares - God Of War),1,2,2.0
CB122 (Bro Co Lee),1,1,1.0
CB122 (Comandor_J),1,1,1.0
CB122 (Defcon22),2,5,2.5
CB122 (EVIL_WITHIN),1,1,1.0
CB122 (Eia),1,1,1.0
CB122 (Illusive Shadow),1,2,2.0
CB122 (Malystryx),21,111,5.285714285714286
CB122 (OG Snooks),1,2,2.0
CB122 (SaintOfKillers),8,10,1.25
CB122 (Valtyda),1,1,1.0
CB122 (YoFurry),1,1,1.0
CB123 (Abomni3),2,5,2.5
CB123 (Archipelago),1,18,18.0
CB123 (Commander Peet),1,1,1.0
CB123 (Darkhaven),2,3,1.5
CB123 (Earthkeeper),4,35,8.75
CB123 (HighVelocityHarry),2,8,4.0
CB123 (KingOfTheNorth),3,7,2.3333333333333335
CB123 (SouthStarO5),1,1,1.0
CB123 (ada153),2,2,1.0
CB123 (flip77),3,7,2.3333333333333335
CB123 (hellguard3),1,1,1.0
CB123 (kwilson),3,14,4.666666666666667
CB124 (Bartolomeu Dias),2,8,4.0
CB124 (DefinitelynotDingus),2,8,4.0
CB124 (Epimetheus),11,145,13.181818181818182
CB124 (Garon),6,32,5.333333333333333
CB124 (Nekro Virus),1,2,2.0
CB124 (ReVityyfc),1,10,10.0
CB124 (The E11),2,3,1.5
CB124 (TheMerno),1,1,1.0
CB124 (bloodybirne),1,2,2.0
CB125 (Badunka),1,12,12.0
CB125 (CSE),3,20,6.666666666666667
CB125 (Cosplay),1,2,2.0
CB125 (GAT01),1,7,7.0
CB125 (God of Thunder),3,23,7.666666666666667
CB125 (Irony),1,12,12.0
CB125 (JubeiSkill),2,18,9.0
CB125 (Peter Quill),3,9,3.0
CB125 (SpaceLilly),1,4,4.0
CB125 (Still Free27),1,2,2.0
CB125 (Woozy),5,23,4.6
CB125 (ada153),3,9,3.0
CB125 (dotLuna),8,20,2.5
CB125 (xElite Kingx),1,2,2.0
CB126 (Activate Siege),2,9,4.5
CB126 (Anticlea),1,8,8.0
CB126 (Darkhaven),3,9,3.0
CB126 (Frailty),1,1,1.0
CB126 (Lazerus-II),2,3,1.5
CB126 (Qu4NtuM),4,35,8.75
CB126 (RalStar52ShM),1,2,2.0
CB126 (SnipingStarO5),2,4,2.0
CB126 (The Master Of Masks),1,4,4.0
CB126 (bloodybirne),1,11,11.0
CB126 (dotLuna),9,58,6.444444444444445
CB126 (trampeltier),1,2,2.0
CB127 (Abberant),6,11,1.8333333333333333
CB127 (BlackZZ),4,8,2.0
CB127 (Bready),1,3,3.0
CB127 (Darkhaven),1,3,3.0
CB127 (Frailty),1,1,1.0
CB127 (Ghost of Creus),5,16,3.2
CB127 (KingOfTheEast),7,13,1.8571428571428572
CB127 (KingOfTheSouth),12,57,4.75
CB127 (Libra-L7),1,1,1.0
CB127 (MAYAS),1,5,5.0
CB127 (Muffasa),6,19,3.1666666666666665
CB127 (Paraan),1,1,1.0
CB127 (Peach Cobler),2,5,2.5
CB127 (Peter Quill),2,5,2.5
CB127 (ReVityyfc),2,8,4.0
CB127 (Trenton II),1,1,1.0
CB127 (flip77),2,2,1.0
CB127 (xElite Kingx),1,2,2.0
CB128 (Banshee),6,16,2.6666666666666665
CB128 (Damen),4,16,4.0
CB128 (Darkhaven),1,1,1.0
CB128 (Droid3t),2,8,4.0
CB128 (Ethereal Mu),1,10,10.0
CB128 (Five),4,22,5.5
CB128 (Hattori),7,10,1.4285714285714286
CB128 (KingOfTheEast),2,10,5.0
CB128 (Nekro Virus),1,1,1.0
CB128 (NoQuarter),1,8,8.0
CB128 (Noodle420),2,15,7.5
CB128 (Number of the Beast),2,4,2.0
CB128 (Peach Cobler),1,4,4.0
CB128 (SouthStarO5 FC),1,4,4.0
CB128 (Stents),1,1,1.0
CB128 (Still Free27),1,10,10.0
CB128 (Swog11),1,1,1.0
CB128 (Tenshi),1,8,8.0
CB128 (Ttodd),2,4,2.0
CB128 (Weebee),9,37,4.111111111111111
CB128 (ada153),2,7,3.5
CB128 (bloodybirne),1,2,2.0
CB128 (ummmmmmmmm),32,429,13.40625
CB129 (Carbon),1,1,1.0
CB129 (Crade),1,9,9.0
CB129 (Deslock35),2,3,1.5
CB129 (Drandex),1,2,2.0
CB129 (Ethereal gamma),3,7,2.3333333333333335
CB129 (HitmanCaius),2,3,1.5
CB129 (Lightning Bolt),4,6,1.5
CB129 (MOTAA),2,6,3.0
CB129 (Myght Guy),1,31,31.0
CB129 (Prophet of Adum),1,1,1.0
CB129 (Snimals),1,4,4.0
CB129 (Sparkplug),2,2,1.0
CB129 (Spiritbox),7,71,10.142857142857142
CB129 (shmJmeel),1,1,1.0
CB13 (Activate Fury),1,4,4.0
